mydate,cday,dday,ma
2020-08-18,50,0,43.57142857142857
2020-08-19,31,0,44.285714285714285
2020-08-20,54,0,47.0
2020-08-21,56,1,47.857142857142854
2020-08-22,51,1,44.42857142857143
2020-08-23,40,0,44.57142857142857
2020-08-24,31,0,44.714285714285715
2020-08-25,40,2,43.285714285714285
2020-08-26,37,0,44.142857142857146
2020-08-27,38,0,41.857142857142854
2020-08-28,44,1,40.142857142857146
2020-08-29,40,1,38.57142857142857
2020-08-30,48,1,39.714285714285715
2020-08-31,36,0,40.42857142857143
2020-09-01,40,0,40.42857142857143
2020-09-02,17,0,37.57142857142857
2020-09-03,33,1,36.857142857142854
2020-09-04,44,0,36.857142857142854
2020-09-05,49,1,38.142857142857146
2020-09-06,30,0,35.57142857142857
2020-09-07,18,0,33.0
2020-09-08,24,3,30.714285714285715
2020-09-09,21,0,31.285714285714285
2020-09-10,35,0,31.571428571428573
2020-09-11,33,0,30.0
2020-09-12,48,0,29.857142857142858
2020-09-13,26,2,29.285714285714285
2020-09-14,0,0,26.714285714285715
2020-09-15,39,1,28.857142857142858
2020-09-16,22,0,29.0
2020-09-17,27,1,27.857142857142858
2020-09-18,51,0,30.428571428571427
2020-09-19,40,0,29.285714285714285
2020-09-20,20,1,28.428571428571427
2020-09-21,19,0,31.142857142857142
2020-09-22,38,1,31.0
2020-09-23,18,1,30.428571428571427
2020-09-24,47,0,33.285714285714285
2020-09-25,58,0,34.285714285714285
2020-09-26,31,2,33.0
2020-09-27,25,0,33.714285714285715
2020-09-28,12,0,32.714285714285715
2020-09-29,48,1,34.142857142857146
2020-09-30,36,1,36.714285714285715
2020-10-01,34,0,34.857142857142854
2020-10-02,35,1,31.571428571428573
2020-10-03,39,1,32.714285714285715
2020-10-04,37,1,34.42857142857143
2020-10-05,52,0,40.142857142857146
2020-10-06,34,2,38.142857142857146
2020-10-07,24,0,36.42857142857143
2020-10-08,25,0,35.142857142857146
2020-10-09,47,0,36.857142857142854
2020-10-10,50,0,38.42857142857143
2020-10-11,49,0,40.142857142857146
2020-10-12,19,0,35.42857142857143
2020-10-13,34,1,35.42857142857143
2020-10-14,63,0,41.0
2020-10-15,32,2,42.0
2020-10-16,35,0,40.285714285714285
2020-10-17,49,1,40.142857142857146
2020-10-18,33,0,37.857142857142854
2020-10-19,39,0,40.714285714285715
2020-10-20,38,1,41.285714285714285
2020-10-21,43,0,38.42857142857143
2020-10-22,0,0,33.857142857142854
2020-10-23,94,1,42.285714285714285
2020-10-24,49,1,42.285714285714285
2020-10-25,86,0,49.857142857142854
2020-10-26,39,0,49.857142857142854
2020-10-27,71,0,54.57142857142857
2020-10-28,34,0,53.285714285714285
2020-10-29,61,1,62.0
2020-10-30,44,0,54.857142857142854
2020-10-31,53,3,55.42857142857143
2020-11-01,131,0,61.857142857142854
2020-11-02,59,0,64.71428571428571
2020-11-03,64,2,63.714285714285715
2020-11-04,83,1,70.71428571428571
2020-11-05,75,0,72.71428571428571
2020-11-06,77,1,77.42857142857143
2020-11-07,75,1,80.57142857142857
2020-11-08,111,0,77.71428571428571
2020-11-09,82,1,81.0
2020-11-10,85,1,84.0
2020-11-11,82,2,83.85714285714286
2020-11-12,101,1,87.57142857142857
2020-11-13,120,2,93.71428571428571
2020-11-14,58,0,91.28571428571429
2020-11-15,176,0,100.57142857142857
2020-11-16,100,0,103.14285714285714
2020-11-17,147,3,112.0
2020-11-18,83,0,112.14285714285714
2020-11-19,84,0,109.71428571428571
2020-11-20,111,0,108.42857142857143
2020-11-21,120,0,117.28571428571429
2020-11-22,176,0,117.28571428571429
2020-11-23,115,3,119.42857142857143
2020-11-24,112,1,114.42857142857143
2020-11-25,102,4,117.14285714285714
2020-11-26,0,0,105.14285714285714
2020-11-27,367,2,141.71428571428572
2020-11-28,65,2,133.85714285714286
2020-11-29,125,1,126.57142857142857
2020-11-30,163,2,133.42857142857142
2020-12-01,144,4,138.0
2020-12-02,120,1,140.57142857142858
2020-12-03,111,6,156.42857142857142
2020-12-04,188,5,130.85714285714286
2020-12-05,185,3,148.0
2020-12-06,214,2,160.71428571428572
2020-12-07,160,1,160.28571428571428
2020-12-08,106,6,154.85714285714286
2020-12-09,189,2,164.71428571428572
2020-12-10,151,2,170.42857142857142
2020-12-11,176,2,168.71428571428572
2020-12-12,132,3,161.14285714285714
2020-12-13,143,1,151.0
2020-12-14,188,0,155.0
2020-12-15,137,6,159.42857142857142
2020-12-16,178,2,157.85714285714286
2020-12-17,146,2,157.14285714285714
2020-12-18,146,2,152.85714285714286
2020-12-19,159,3,156.71428571428572
2020-12-20,200,0,164.85714285714286
2020-12-21,67,0,147.57142857142858
2020-12-22,161,6,151.0
2020-12-23,124,0,143.28571428571428
2020-12-24,81,2,134.0
2020-12-25,0,0,113.14285714285714
2020-12-26,128,3,108.71428571428571
2020-12-27,358,1,131.28571428571428
2020-12-28,70,0,131.71428571428572
2020-12-29,88,0,121.28571428571429
2020-12-30,121,1,120.85714285714286
2020-12-31,187,2,136.0
2021-01-01,0,0,136.0
2021-01-02,333,3,165.28571428571428
2021-01-03,222,2,145.85714285714286
2021-01-04,78,0,147.0
2021-01-05,99,3,148.57142857142858
2021-01-06,133,0,150.28571428571428
2021-01-07,134,1,142.71428571428572
2021-01-08,176,1,167.85714285714286
2021-01-09,108,3,135.71428571428572
2021-01-10,229,0,136.71428571428572
2021-01-11,110,-1,141.28571428571428
2021-01-12,93,9,140.42857142857142
2021-01-13,97,2,135.28571428571428
2021-01-14,138,0,135.85714285714286
2021-01-15,94,0,124.14285714285714
2021-01-16,113,5,124.85714285714286
2021-01-17,87,0,104.57142857142857
2021-01-18,75,1,99.57142857142857
2021-01-19,65,0,95.57142857142857
2021-01-20,82,3,93.42857142857143
